id,temperatura,lluvia,zona,alerta,particion
e000,,,,1,train
e001,32.840226,21.44635,interior,1,train
e002,11.004045,84.37156,valle,0,train
e003,18.256189,55.733027,valle,0,train
e004,19.554994,36.713287,interior,0,train
e005,22.018189,72.565221,interior,1,train
e006,21.381431,74.527694,interior,1,train
e007,18.946091,15.775913,valle,0,train
e008,20.108473,32.369387,interior,0,train
e009,30.818575,22.104578,interior,1,train
e010,9.553868,72.488788,valle,0,train
e011,5.516411,77.181106,interior,0,train
e012,12.474266,48.984959,valle,0,train
e013,21.01844,95.321122,costa,1,train
e014,12.615163,61.314036,costa,0,train
e015,8.454574,62.113962,valle,0,train
e016,16.849431,64.540603,valle,1,train
e017,,25.258758,interior,0,train
e018,7.470152,80.402075,valle,0,train
e019,27.284794,,valle,0,train
e020,15.774257,70.306592,valle,1,train
e021,27.264025,83.070867,valle,1,train
e022,30.204131,51.51055,costa,1,train
e023,32.898321,68.671502,,1,train
e024,30.130858,60.062904,costa,1,train
e025,10.67839,26.084173,valle,0,train
e026,34.640162,82.088225,costa,1,train
e027,33.591064,65.546896,costa,1,train
e028,23.367797,51.950877,interior,1,train
e029,33.069221,99.728806,costa,1,train
e030,26.200911,84.108926,interior,1,train
e031,32.197811,34.405661,valle,1,train
e032,20.061165,63.167942,valle,1,train
e033,30.031686,51.042819,costa,1,train
e034,,48.393129,interior,1,train
e035,32.897954,20.932663,valle,1,train
e036,26.272077,12.741731,costa,0,train
e037,30.245572,53.227968,costa,1,train
e038,14.948342,,valle,0,train
e039,8.665846,8.076746,costa,0,train
e040,24.854006,29.086894,valle,0,train
e041,12.790945,61.965476,interior,0,train
e042,27.302181,59.859891,interior,1,train
e043,11.31523,53.219281,costa,0,train
e044,12.015406,74.611943,interior,1,train
e045,12.530849,45.040066,valle,0,train
e046,34.755004,11.673882,,1,train
e047,18.446967,32.278164,costa,0,train
e048,29.678912,30.059234,valle,1,train
e049,30.852913,57.780241,valle,1,train
e050,15.056185,87.038139,interior,1,train
e051,,98.513454,interior,1,train
e052,12.543714,43.859599,costa,0,train
e053,25.094056,5.247791,valle,0,train
e054,10.9508,85.954977,valle,1,train
e055,34.749402,52.197809,costa,1,train
e056,11.128382,35.357564,costa,0,train
e057,34.42866,,costa,1,train
e058,29.958412,3.254862,interior,0,train
e059,34.122302,33.820677,valle,1,train
e060,12.122133,46.319744,costa,0,train
e061,19.474839,7.538476,valle,0,train
e062,10.71733,23.593489,interior,0,train
