id,x1,x2,clase,particion
p000,2.173945,-8.535287,1,train
p001,-0.37237,-15.61223,1,train
p002,-1.13585,14.474324,0,train
p003,-0.157676,-4.033221,1,train
p004,-0.173622,9.065704,0,train
p005,0.395055,-1.187199,1,train
p006,1.412744,-6.412269,1,train
p007,-1.150278,7.239457,0,train
p008,-0.608853,-5.673448,0,train
p009,-1.333453,5.478466,0,train
p010,-0.208658,2.641315,0,train
p011,1.35703,8.515558,1,train
p012,0.515681,-8.941491,1,train
p013,0.349849,0.342712,1,train
p014,-2.40153,-18.129346,0,train
p015,1.134928,8.770989,1,train
p016,0.826296,1.467313,1,train
p017,0.440565,20.439134,0,train
p018,-0.424407,4.051032,0,train
p019,-1.169472,12.421195,0,train
p020,-0.819654,19.612047,0,train
p021,-2.395722,-11.508673,0,train
p022,-1.088633,-1.059666,0,train
p023,1.551668,-1.821468,1,train
p024,-0.999331,-1.676961,0,train
p025,0.152429,-7.874321,1,train
p026,-0.019777,8.724173,0,train
p027,0.561417,11.79926,0,train
p028,-0.446212,7.99094,0,train
p029,-1.910878,-3.899807,0,train
p030,0.50373,-1.539609,1,train
p031,0.885012,-6.051972,1,train
p032,0.812891,21.149936,0,train
p033,-0.356553,-11.959565,1,train
p034,0.17312,0.608251,1,train
p035,-0.427457,0.954242,0,train
p036,1.633562,9.843916,1,train
p037,0.829745,-15.713068,1,train
p038,0.493754,-0.492128,1,train
p039,-0.429511,-6.384011,0,train
p040,0.249549,-3.44665,1,train
p041,-0.487622,15.58161,0,train
p042,0.598583,-4.861937,1,train
p043,1.626075,3.461703,1,train
p044,0.153329,13.640003,0,train
p045,-1.107432,0.509228,0,train
p046,0.007377,13.553559,0,train
p047,0.506384,1.03421,1,train
p048,2.004693,7.055534,1,train
p049,-0.597694,-15.911043,1,train
p050,0.349754,16.15927,0,train
p051,-0.284726,5.564511,0,train
p052,0.047152,5.666615,0,train
p053,-1.541325,7.202025,0,train
p054,1.605619,13.586488,1,train
p055,-0.308439,15.209117,0,train
p056,0.713621,-20.97801,1,train
p057,1.896926,12.46686,1,train
p058,-0.684807,-7.439841,0,train
p059,-0.103817,1.319842,0,train
p060,-0.069461,-2.210023,1,train
p061,-0.022358,-9.299846,1,train
p062,0.946554,-6.37798,1,train
p063,-0.033225,12.583903,0,train
p064,-1.525873,5.913121,0,train
p065,0.486188,-0.152486,1,train
p066,-0.115534,10.271318,0,train
p067,-0.633297,0.694037,0,train
p068,0.605807,-5.827862,1,train
p069,1.165329,-2.812769,1,train
p070,0.143229,-14.231357,1,train
p071,1.458917,1.826075,1,train
p072,-0.918311,14.529194,0,train
p073,-0.597995,-12.617832,1,train
p074,-0.003203,-1.421586,1,train
p075,1.454979,-4.694376,1,train
p076,-1.582189,-12.620662,0,train
p077,0.208902,-2.114958,1,train
p078,-0.653006,-4.89744,0,train
p079,0.989815,-3.533716,1,train
p080,-0.858955,-8.275777,0,train
p081,-0.568268,15.713594,0,train
p082,0.938463,7.322819,1,train
p083,1.738789,-0.30423,1,train
p084,-1.036522,4.783433,0,train
p085,0.472629,-10.618667,1,train
p086,-1.222803,14.323991,0,train
p087,0.112303,4.778275,1,train
p088,-0.723028,3.156326,0,train
p089,-0.59058,-7.629226,0,train
p090,-0.228202,14.859005,0,train
p091,-0.582334,-0.824638,0,train
p092,0.242159,1.349285,1,train
p093,0.485958,11.464328,0,train
p094,1.571669,3.555664,1,train
p095,0.025063,15.735125,0,train
p096,0.205813,19.552491,0,train
p097,-0.189798,2.278337,0,train
p098,0.741418,0.630337,1,train
p099,0.493586,15.825333,0,train
p100,1.285825,0.297935,1,train
p101,0.149367,0.285688,1,train
p102,0.056225,-12.084357,1,train
p103,-2.528485,10.335409,0,train
p104,0.611496,32.126183,0,train
p105,1.282307,-7.890912,1,train
p106,-0.449948,-1.585118,0,train
p107,1.882483,8.486528,1,train
p108,-1.405208,-10.911901,0,train
p109,0.414048,4.584861,0,train
p110,1.213155,2.59213,1,train
p111,1.399895,3.361619,1,train
p112,0.521864,12.44256,0,train
p113,0.366454,4.547844,0,train
p114,0.416117,24.386195,0,train
p115,-0.13794,-7.635116,1,train
p116,0.2297,1.697139,1,train
p117,0.301218,5.008862,0,train
p118,1.615483,0.167876,1,train
p119,1.053309,6.87616,1,train
p120,1.354515,-12.933783,1,train
p121,-0.292183,23.841349,0,train
p122,-1.854044,-13.301955,0,train
p123,-0.00201,7.320447,0,train
p124,-1.566061,-8.490938,0,train
p125,0.053847,9.690981,0,train
p126,0.775908,-2.665754,1,train
p127,0.923916,-31.217776,1,train
p128,-0.083732,4.556857,0,train
p129,-1.065259,7.547124,0,train
p130,-1.354375,3.542895,0,train
p131,-0.630809,17.623661,0,train
p132,0.773297,-6.665883,1,train
p133,-1.2313,15.081087,0,train
p134,1.157437,8.651862,1,train
p135,-0.273904,-9.552044,1,train
p136,0.291697,-9.417156,1,train
p137,-1.929514,22.441113,0,train
p138,0.397741,-18.00298,1,train
p139,-0.082181,-0.123679,0,train
p140,0.362277,12.690997,0,train
p141,0.347136,-0.005522,1,train
p142,-1.573277,9.509973,0,train
p143,-0.954836,-6.674338,0,train
p144,-1.455946,-8.679868,0,train
p145,-0.27898,0.976757,0,train
p146,-1.735498,2.965603,0,train
p147,0.087351,5.987837,0,train
p148,1.906722,9.323318,1,train
p149,2.316139,-2.516276,1,train
p150,-1.035774,-15.317572,0,train
p151,-1.353505,2.046699,0,train
p152,-0.041066,-9.931913,1,train
p153,-0.545167,-14.255357,1,train
p154,-1.141278,6.934801,0,train
p155,1.607434,-3.148579,1,train
p156,1.113229,-5.10422,1,train
p157,-1.130633,2.884551,0,train
p158,-0.696533,-13.177141,1,train
p159,-0.828564,15.322525,0,train
p160,-0.207163,1.352328,0,train
p161,0.143905,8.291329,0,train
p162,-1.175575,2.504496,0,train
p163,0.049765,9.274125,0,train
p164,0.30304,0.689092,1,train
p165,0.23541,-4.150861,1,train
p166,-0.669249,1.518002,0,train
p167,1.378992,0.709787,1,train
p168,-1.414068,-3.330923,0,train
p169,-1.128972,-6.012327,0,train
p170,0.445873,2.255314,1,train
p171,-0.946516,8.860587,0,train
p172,-0.041971,1.14483,0,train
p173,1.268891,8.117602,1,train
p174,-0.342114,12.871637,0,train
p175,-0.9661,-0.606879,0,train
p176,-0.505813,-2.631345,0,train
p177,0.311943,6.918187,0,train
p178,2.194024,7.795191,1,train
p179,-0.931786,11.14506,0,train
p180,-0.587541,13.873323,0,val
p181,-0.774578,-13.388732,0,val
p182,-0.310372,4.468981,0,val
p183,0.882836,2.670705,1,val
p184,-1.666212,10.671305,0,val
p185,0.686077,-9.573887,1,val
p186,-1.318023,2.866903,0,val
p187,0.550301,6.63626,0,val
p188,0.18418,-4.104779,1,val
p189,-0.703642,2.881977,0,val
