id,x1,x2
p519,-1.118174,4.363728
p508,0.084078,9.067053
p537,-0.692013,5.279965
p501,-1.018138,-1.265749
p557,0.45309,-1.555666
p507,-0.580639,25.501311
p559,0.018275,1.260358
p535,-0.391999,-4.585202
p505,-1.041981,1.156971
p542,0.32368,-15.426794
p552,-1.396068,-1.820304
p512,-1.39151,-18.252201
p515,1.264591,5.673225
p539,-0.630376,-1.101332
p518,-0.717657,-9.376586
p533,-0.306185,-4.713419
p555,1.044477,-19.455409
p521,-0.327672,-6.291211
p548,1.049313,2.683313
p524,0.280252,-3.281889
p544,-0.238693,8.02239
p510,0.476222,7.576334
p503,0.818993,-1.510022
p517,-0.01291,3.549471
p532,-0.585929,-4.285344
p516,0.900402,-23.147927
p525,-0.701896,-1.658727
p526,-0.358115,-3.455353
p522,-1.26111,2.80586
p554,-0.351942,10.712135
p504,-0.563531,2.505332
p527,-0.101547,-20.545511
p514,0.047965,-9.351891
p509,1.011262,-0.093706
p540,0.513339,-3.087118
p543,0.206997,-3.461148
p538,0.788228,7.357662
p541,0.32958,7.711079
p549,1.260583,-3.230956
p530,0.953396,-3.797385
p534,0.297345,6.330137
p529,-0.896926,8.320336
p551,0.006685,-2.900275
p513,1.590056,0.734257
p558,-0.754856,-12.228191
p553,2.935926,-4.818882
p531,-1.686695,4.242951
p556,-1.534014,-5.043961
p502,0.140328,-4.378236
p546,0.225798,0.401965
p523,0.599108,-0.951696
p545,-0.553742,10.820141
p506,2.211076,13.262876
p547,-0.056566,-6.100638
p550,0.969106,-14.997248
p500,-0.906479,-8.479086
p511,-0.21403,-2.351353
p520,0.049496,2.814149
p536,0.934659,-1.850374
p528,-1.038305,-2.712841
