etiqueta,score
0,0.042728
0,0.374659
0,0.202471
0,0.152233
0,0.156695
0,0.202807
0,0.284666
1,0.28808
1,0.713021
0,0.107397
0,0.055816
0,0.3797
0,0.104198
1,0.30674
0,0.381481
0,0.176088
0,0.128829
0,0.099896
0,0.273403
0,0.0973
0,0.041953
0,0.127027
0,0.306374
0,0.248651
0,0.143346
0,0.219459
0,0.185304
0,0.250362
1,0.469964
0,0.107721
0,0.205331
0,0.174071
0,0.378323
0,0.249625
0,0.158025
0,0.101262
0,0.310575
1,0.683344
0,0.132041
0,0.301685
0,0.098417
1,0.637005
1,0.253807
0,0.353828
0,0.268864
0,0.093798
1,0.517908
0,0.337128
0,0.308762
0,0.383763
