etiqueta,score
0,0.338008
0,0.115553
0,0.285456
1,0.779999
0,0.198186
0,0.346389
0,0.274376
0,0.176499
0,0.042829
0,0.176885
1,0.340092
1,0.743655
0,0.300888
0,0.301584
1,0.755127
1,0.612852
1,0.394785
0,0.256613
0,0.253408
0,0.096909
1,0.476532
0,0.226919
1,0.537352
0,0.228069
0,0.246765
0,0.292191
0,0.11411
0,0.334029
1,0.58091
0,0.191995
0,0.224929
0,0.08459
0,0.279225
0,0.146667
0,0.140388
0,0.066842
1,0.285365
1,0.290749
0,0.304222
0,0.246917
1,0.615485
0,0.3296
0,0.289623
0,0.286687
0,0.224077
0,0.367628
0,0.214938
0,0.202169
1,0.673077
0,0.270375
0,0.3463
0,0.214307
0,0.348132
1,0.514525
1,0.546601
0,0.176356
0,0.174225
0,0.270613
0,0.373714
0,0.379025
