grupo,firma_0,firma_1,firma_2,firma_3,firma_4,firma_5,clase
g00,3.162795,-1.151756,1.116346,-1.004187,5.69624,-1.836433,1
g00,3.162578,-1.153503,1.114587,-1.006418,5.694059,-1.829545,1
g00,3.162388,-1.149104,1.116616,-1.001514,5.693841,-1.831085,1
g00,3.161395,-1.148979,1.113798,-1.002158,5.696546,-1.827826,1
g00,3.159213,-1.155183,1.117408,-1.002462,5.693697,-1.833521,1
g00,3.160709,-1.153267,1.113369,-1.002935,5.69453,-1.833281,1
g00,3.15824,-1.15237,1.113209,-1.000858,5.695573,-1.830344,1
g00,3.161953,-1.148646,1.113649,-1.001566,5.695084,-1.835102,1
g01,0.563321,1.76589,-2.538664,-0.888602,-4.401078,8.159499,1
g01,0.563507,1.766969,-2.539893,-0.889564,-4.398286,8.159391,1
g01,0.561866,1.765989,-2.541548,-0.888436,-4.401251,8.160169,1
g01,0.561509,1.769499,-2.541666,-0.891172,-4.398803,8.163282,1
g01,0.564529,1.765718,-2.541621,-0.890767,-4.398396,8.164191,1
g01,0.564937,1.768678,-2.540507,-0.889359,-4.403321,8.162982,1
g01,0.56336,1.76536,-2.545726,-0.890876,-4.397298,8.160722,1
g01,0.560253,1.767851,-2.545143,-0.89188,-4.396507,8.162611,1
g02,-0.598448,0.027364,3.23505,-0.785873,0.618065,2.804885,1
g02,-0.593268,0.026669,3.231729,-0.787256,0.617191,2.799524,1
g02,-0.597786,0.029182,3.232703,-0.788996,0.616829,2.798609,1
g02,-0.598157,0.027131,3.236353,-0.78746,0.619381,2.801974,1
g02,-0.597331,0.030272,3.235238,-0.788989,0.618828,2.799909,1
g02,-0.595528,0.029673,3.236989,-0.790355,0.618897,2.803189,1
g02,-0.602116,0.030184,3.231245,-0.787795,0.621266,2.801675,1
g02,-0.596793,0.029163,3.234334,-0.788622,0.618787,2.801879,1
g03,5.60356,2.085143,0.344107,-3.096258,-2.913968,2.077156,0
g03,5.602352,2.086884,0.342046,-3.09185,-2.912744,2.07564,0
g03,5.606568,2.086433,0.341971,-3.097708,-2.912681,2.072259,0
g03,5.606011,2.088305,0.343749,-3.093821,-2.912018,2.077272,0
g03,5.602019,2.084602,0.343568,-3.092667,-2.913781,2.076521,0
g03,5.601502,2.084041,0.341869,-3.09611,-2.912787,2.078023,0
