grupo,firma_0,firma_1,firma_2,firma_3,firma_4,firma_5,clase
g24,-5.895533,-1.602595,-0.725244,-6.2147,3.674523,3.197628,0
g24,-5.897412,-1.603878,-0.724474,-6.209382,3.675945,3.202479,0
g24,-5.896085,-1.605004,-0.72025,-6.214958,3.676922,3.199365,0
g24,-5.895513,-1.603783,-0.721087,-6.212639,3.67385,3.201451,0
g24,-5.898367,-1.602637,-0.721251,-6.211975,3.676806,3.202362,0
g24,-5.895053,-1.605465,-0.722497,-6.21225,3.677665,3.201261,0
g24,-5.897465,-1.604406,-0.722029,-6.208422,3.671206,3.202687,0
g24,-5.893947,-1.605175,-0.720235,-6.209221,3.674827,3.20069,0
g25,0.761877,-4.222033,1.18546,-1.198251,2.04112,1.25456,1
g25,0.763112,-4.221029,1.186333,-1.197879,2.040078,1.256891,1
g25,0.765304,-4.218444,1.18832,-1.198328,2.035541,1.256056,1
g25,0.761979,-4.222919,1.187211,-1.193579,2.043707,1.256395,1
g25,0.763245,-4.224726,1.189061,-1.198051,2.042263,1.257546,1
g25,0.764803,-4.22037,1.186795,-1.196481,2.042391,1.252342,1
g25,0.763579,-4.220547,1.187318,-1.196159,2.037494,1.252879,1
g25,0.761862,-4.223275,1.185509,-1.194255,2.037036,1.255956,1
g26,0.487476,-0.355918,-0.490795,3.502883,-1.546611,3.827463,0
g26,0.484786,-0.353174,-0.49049,3.499322,-1.554622,3.821407,0
g26,0.484053,-0.349527,-0.491112,3.506757,-1.552138,3.819874,0
g26,0.484284,-0.358044,-0.494355,3.499069,-1.55563,3.822503,0
g26,0.488562,-0.35539,-0.486397,3.50259,-1.549202,3.823198,0
g26,0.482381,-0.354379,-0.489407,3.502681,-1.548422,3.825701,0
g26,0.483244,-0.351818,-0.490778,3.503262,-1.55199,3.82253,0
g26,0.483661,-0.352073,-0.490963,3.502842,-1.5485,3.824836,0
g27,4.939469,-0.580229,1.311242,0.410926,-1.41503,0.488658,1
g27,4.942144,-0.580468,1.309582,0.409375,-1.415035,0.485725,1
g27,4.942019,-0.581262,1.304575,0.412414,-1.414273,0.487612,1
g27,4.940273,-0.57922,1.307478,0.415413,-1.414956,0.490197,1
g27,4.937662,-0.580478,1.305405,0.409165,-1.411375,0.487496,1
g27,4.938629,-0.578833,1.310248,0.414146,-1.414005,0.49252,1
g27,4.938324,-0.579236,1.306943,0.414228,-1.413369,0.491986,1
g27,4.941676,-0.580717,1.309877,0.415086,-1.412219,0.489676,1
g28,-0.867505,0.221012,-0.815192,-0.119852,-0.396172,-4.300122,1
g28,-0.872781,0.21917,-0.811389,-0.12087,-0.390918,-4.300801,1
g28,-0.870821,0.218528,-0.813853,-0.116457,-0.394968,-4.297133,1
g28,-0.872244,0.221598,-0.813542,-0.119844,-0.394291,-4.297401,1
g28,-0.867558,0.221116,-0.814524,-0.119646,-0.39499,-4.298399,1
g28,-0.868092,0.219273,-0.814437,-0.119151,-0.39045,-4.301039,1
g28,-0.868691,0.220155,-0.813094,-0.119552,-0.39593,-4.296804,1
g28,-0.869414,0.220769,-0.817086,-0.121864,-0.390984,-4.300365,1
g29,2.053731,-1.26314,0.129011,2.602291,-2.424899,1.00914,0
g29,2.054456,-1.265881,0.132232,2.60171,-2.419491,1.008903,0
g29,2.052476,-1.263251,0.13205,2.597139,-2.420591,1.010345,0
g29,2.054757,-1.26855,0.130035,2.599706,-2.419096,1.004425,0
g29,2.051952,-1.264356,0.130468,2.598798,-2.419062,1.005754,0
g29,2.055667,-1.26684,0.131611,2.599165,-2.42197,1.004779,0
g29,2.052085,-1.268595,0.130396,2.599063,-2.422,1.005926,0
g29,2.053869,-1.263175,0.131671,2.600156,-2.421902,1.009156,0
g30,3.134395,1.204064,2.6842,0.708371,-1.537989,-3.531593,1
g30,3.130339,1.203192,2.681501,0.710778,-1.541919,-3.528001,1
g30,3.139327,1.201427,2.684512,0.709993,-1.541553,-3.528985,1
g30,3.13731,1.204313,2.685189,0.71112,-1.53933,-3.528347,1
g30,3.132165,1.200948,2.685468,0.713184,-1.542699,-3.527475,1
g30,3.135102,1.203695,2.683124,0.713068,-1.54135,-3.532453,1
g30,3.132219,1.201331,2.68425,0.71676,-1.542746,-3.530379,1
g30,3.135774,1.206064,2.683836,0.716005,-1.541897,-3.532242,1
g31,0.603294,-4.671657,-0.752771,2.127533,4.49816,-0.448469,0
g31,0.600922,-4.671288,-0.746391,2.123551,4.497364,-0.446663,0
g31,0.602502,-4.6719,-0.750066,2.12524,4.499286,-0.448832,0
g31,0.601599,-4.666685,-0.750149,2.125457,4.497245,-0.447248,0
g31,0.601348,-4.667849,-0.745517,2.122617,4.495866,-0.444679,0
g31,0.601089,-4.673799,-0.744056,2.127556,4.500798,-0.447628,0
g31,0.602543,-4.66783,-0.748669,2.129011,4.496961,-0.451154,0
g31,0.604576,-4.669502,-0.746483,2.124847,4.49564,-0.448545,0
g32,-2.588907,-1.071806,-2.413936,1.538571,1.400082,4.865369,0
g32,-2.594062,-1.069934,-2.411964,1.539155,1.397835,4.864874,0
g32,-2.591502,-1.070691,-2.413473,1.538087,1.395982,4.86569,0
g32,-2.590079,-1.070635,-2.410044,1.540664,1.39874,4.86081,0
g32,-2.589324,-1.072073,-2.409766,1.544061,1.400117,4.863049,0
g32,-2.592372,-1.070596,-2.412325,1.543017,1.397591,4.860737,0
g32,-2.589043,-1.069565,-2.412696,1.537356,1.39753,4.862158,0
g32,-2.592495,-1.067985,-2.4072,1.538421,1.39945,4.862654,0
g33,2.797139,2.083796,1.666577,-0.1554,-0.185456,3.416734,0
g33,2.795716,2.086779,1.673102,-0.152351,-0.183277,3.417355,0
g33,2.793745,2.088304,1.66827,-0.149465,-0.186043,3.418271,0
g33,2.791657,2.085444,1.669915,-0.153888,-0.183207,3.41573,0
g33,2.795626,2.088054,1.66895,-0.149717,-0.182931,3.420279,0
g33,2.795725,2.087745,1.668408,-0.154896,-0.181779,3.41651,0
g33,2.794762,2.086933,1.666669,-0.147322,-0.181404,3.41738,0
g33,2.797606,2.087387,1.668714,-0.151084,-0.1819,3.420317,0
g34,-5.104823,-3.677936,-0.633439,5.242293,-4.144656,-7.818586,1
g34,-5.105471,-3.678787,-0.631701,5.239121,-4.13953,-7.820423,1
g34,-5.108552,-3.678971,-0.634144,5.240654,-4.143147,-7.820475,1
g34,-5.104296,-3.681082,-0.63035,5.245681,-4.143172,-7.819817,1
g34,-5.109812,-3.678972,-0.634715,5.242106,-4.141263,-7.825869,1
g34,-5.105262,-3.67811,-0.633808,5.236437,-4.141018,-7.817178,1
g34,-5.109381,-3.680705,-0.63231,5.240797,-4.140734,-7.821289,1
g34,-5.107367,-3.682355,-0.633771,5.241279,-4.141317,-7.821801,1
g35,4.211146,1.06086,4.93508,2.832743,-0.811568,-1.453031,1
g35,4.214104,1.056922,4.93437,2.833912,-0.807366,-1.454797,1
g35,4.216484,1.0568,4.934788,2.833427,-0.80706,-1.458978,1
g35,4.216469,1.05279,4.933987,2.83397,-0.810764,-1.456836,1
g35,4.214076,1.055907,4.936375,2.836087,-0.810672,-1.455002,1
g35,4.214775,1.055597,4.934272,2.832131,-0.812248,-1.453954,1
g35,4.215064,1.056377,4.935773,2.832689,-0.808231,-1.453373,1
g35,4.213493,1.058426,4.935506,2.83385,-0.807087,-1.457269,1
