x1,x2,clase,particion
-0.066099,-1.008393,0,train
1.073938,-1.348092,1,train
1.37764,0.481583,1,train
1.347952,-0.803597,1,train
0.270126,-0.390675,0,train
0.763243,-0.144641,0,train
0.912442,0.993164,1,train
1.155942,0.255209,1,train
0.091902,1.019769,0,train
0.346412,0.780823,0,train
1.41467,1.481416,1,train
-0.465832,0.363375,0,train
0.020946,-0.707653,0,train
-0.335803,0.500472,0,train
0.712591,0.444305,0,train
0.562055,1.099313,1,train
-0.730714,0.630864,0,train
-0.858288,0.178432,0,train
0.120989,1.307719,1,train
-0.46251,-1.212335,1,train
0.012118,1.484306,1,train
0.680276,-0.124174,0,train
0.311259,0.773249,0,train
0.822275,0.85682,1,train
1.178593,-0.455701,1,train
-1.070477,-0.686697,1,train
-0.278805,-0.66647,0,train
-0.332479,0.931576,0,train
1.01462,1.056914,1,train
1.08227,0.354311,0,train
-1.486621,-1.129882,1,train
-1.044195,0.821109,1,train
0.723766,0.855965,0,train
-1.471264,1.42079,1,train
-0.902825,-0.586448,0,train
1.399639,-0.504923,1,train
-0.077892,-0.405146,0,train
-0.581202,-0.111694,0,train
0.921183,0.656175,0,train
0.484866,1.087074,1,train
-0.670938,1.215632,1,train
0.805039,0.321887,0,train
1.303047,-0.416841,1,train
1.100598,-0.639493,1,train
1.308159,0.349665,1,train
-1.481112,-0.034743,1,train
1.263458,-0.250395,1,train
0.941832,1.007644,1,train
-1.381052,-1.431838,1,train
-0.777781,-0.114895,0,train
1.114927,-0.892433,1,train
1.168046,0.681807,1,train
-0.125684,1.38211,1,train
0.51941,0.163536,0,train
-1.389704,-0.158993,1,train
1.252839,-0.74278,1,train
1.310299,-1.083623,1,train
-1.062845,-0.215001,0,train
-0.628043,1.435249,1,train
-0.488713,0.058998,0,train
0.158747,-1.299278,1,train
-0.974975,0.407562,0,train
1.32651,0.894274,1,train
0.071735,-1.399115,1,train
1.059685,-0.200025,0,train
-0.421865,0.226559,0,train
0.545965,-0.794746,0,train
0.161773,0.298922,0,train
-1.187178,1.478996,1,train
0.929171,-1.337825,1,train
1.108328,0.804418,1,train
-0.31458,0.01645,0,train
-0.736378,-0.936283,1,train
0.273402,1.068199,0,train
1.306758,1.138965,1,train
-0.551403,-0.959896,0,train
1.248893,1.009276,1,train
0.94889,0.389323,0,train
-0.95537,-0.955613,1,train
-0.294297,-0.30516,0,train
-0.87715,-0.066049,0,train
1.02481,-1.370589,1,train
-0.104021,-0.425453,0,train
-1.26248,0.311715,1,train
1.198867,-0.529708,1,train
0.384173,0.820838,0,train
1.096241,0.785354,1,train
0.505384,-1.002912,0,train
-0.432044,1.391322,1,train
0.269021,1.395923,1,train
1.293096,1.460605,1,train
-1.138984,-0.276232,1,train
-1.323499,-0.898762,1,train
0.06661,0.564577,0,train
0.308331,-1.357789,1,train
-0.359203,-0.539066,0,train
1.032766,-0.339467,0,train
-0.979153,1.346546,1,train
1.072848,-0.567145,1,train
0.123665,-1.233207,1,train
-0.18874,0.74474,0,train
0.571421,0.202076,0,train
-0.276224,0.09066,0,train
-0.123135,0.087198,0,train
-0.057043,1.003549,0,train
0.745621,0.149754,0,train
0.884361,-0.89228,1,train
0.264516,-1.439396,1,train
-1.3097,-0.112951,1,train
0.750626,-0.632239,0,train
-0.049885,0.073209,0,train
1.49726,1.400848,1,train
-0.028717,0.245149,0,train
0.066354,-0.95158,0,train
0.544746,-1.112039,1,train
-0.812109,-1.263632,1,train
0.767992,-0.154063,0,train
-1.137787,0.125452,1,train
-0.683838,-1.261344,1,train
-0.833536,0.136822,0,train
-0.888932,-1.461598,1,train
-0.218403,0.941766,0,train
-0.710167,1.292477,1,train
-0.798611,-0.735924,0,train
1.19057,0.957289,1,train
-0.611137,0.835125,0,train
0.700557,-1.316258,1,train
0.430263,0.715479,0,train
-0.988944,-0.536135,0,train
-0.43357,-0.200656,0,train
0.820461,0.165767,0,train
-0.014251,1.240821,1,train
-0.572049,0.957022,0,train
-1.467606,1.248576,1,train
-0.243571,-1.258545,1,train
0.239117,1.498439,1,train
0.085965,-1.426073,1,train
-1.114783,0.466016,1,train
-0.241944,1.393486,1,train
0.164376,-0.476237,0,train
1.111163,-0.788268,1,train
0.867243,1.016457,1,train
-1.346512,0.801709,1,train
-1.186685,1.229304,1,train
-0.679996,0.523065,0,train
-0.163433,1.098848,0,train
-1.281134,-1.03792,1,train
1.157206,0.555163,1,train
0.2497,1.449377,1,train
-1.285764,0.115037,1,train
1.112024,-1.421782,1,train
0.132074,-0.739769,0,train
-1.44956,1.40444,1,train
-0.73967,-0.919417,1,train
-1.378086,-0.606142,1,train
1.243487,1.065909,1,train
-1.01539,1.149534,1,train
-0.995128,-0.567785,1,train
0.499322,0.535584,0,train
0.489791,1.354171,1,train
0.354561,0.294647,0,val
0.979641,0.165742,0,val
-0.44967,0.618493,0,val
-0.930713,-0.067778,0,val
0.540877,0.257787,0,val
1.179658,-0.687683,1,val
-0.453967,-0.480089,0,val
1.47341,-0.154078,1,val
0.039768,-0.409803,0,val
1.418749,-1.097261,1,val
0.582383,1.233236,1,val
-1.471801,-0.323809,1,val
1.034385,1.116487,1,val
1.362999,0.962535,1,val
0.641292,1.344098,1,val
1.000874,1.08643,1,val
0.136552,-0.050102,0,val
0.984594,1.176008,1,val
-0.147554,0.334052,0,val
1.092559,-0.941446,1,val
-0.703836,-0.984283,1,val
-1.342211,0.696021,1,val
-0.335435,1.121949,1,val
0.728484,-0.927402,1,val
