x1,x2,grupo
1.006254,-0.000268,0
1.005498,0.024256,0
1.017492,0.136552,0
1.015971,0.134825,0
0.986577,0.171526,0
0.975219,0.227675,0
0.955873,0.265709,0
0.968621,0.292229,0
0.934795,0.309062,0
0.940905,0.395798,0
0.892721,0.402713,0
0.891827,0.386767,0
0.886928,0.469188,0
0.845581,0.518856,0
0.817914,0.539369,0
0.845565,0.568098,0
0.783805,0.59111,0
0.782486,0.643733,0
0.728135,0.679019,0
0.680255,0.678824,0
0.679684,0.742136,0
0.692381,0.737819,0
0.62717,0.76568,0
0.584186,0.800105,0
0.584408,0.776938,0
0.547231,0.86051,0
0.504645,0.885993,0
0.480771,0.896212,0
0.449363,0.904345,0
0.384667,0.918332,0
0.382339,0.948202,0
0.33542,0.925506,0
0.284633,0.971782,0
0.259241,0.981777,0
0.211731,0.993468,0
0.174465,1.001327,0
0.110238,0.966313,0
0.077446,1.011806,0
0.046037,1.012248,0
0.017103,1.015727,0
-0.012432,0.986991,0
-0.09218,0.977196,0
-0.075401,0.995831,0
-0.152885,1.00869,0
-0.142862,0.999032,0
-0.231342,0.978638,0
-0.238305,0.966723,0
-0.277403,0.982378,0
-0.319892,0.950663,0
-0.35969,0.918053,0
-0.414371,0.933358,0
-0.432287,0.880055,0
-0.4703,0.910964,0
-0.519384,0.846938,0
-0.559526,0.845215,0
-0.541396,0.83467,0
-0.573864,0.824911,0
-0.6175,0.767406,0
-0.656068,0.745201,0
-0.679424,0.72137,0
-0.730966,0.692703,0
-0.758663,0.668001,0
-0.786488,0.62778,0
-0.799201,0.603913,0
-0.811465,0.571996,0
-0.845375,0.525382,0
-0.869299,0.49513,0
-0.893338,0.4718,0
-0.909883,0.429743,0
-0.907003,0.39684,0
-0.925618,0.34122,0
-0.913675,0.337737,0
-0.962499,0.306436,0
-0.943906,0.275054,0
-1.002003,0.223042,0
-0.973776,0.172162,0
-0.973242,0.16303,0
-1.013693,0.072707,0
-1.003489,0.034528,0
-1.003059,0.03154,0
0.006607,0.443908,1
0.023047,0.377518,1
0.013552,0.352487,1
0.029381,0.30868,1
0.031062,0.259129,1
0.001816,0.242498,1
0.029743,0.249963,1
0.028937,0.144724,1
0.04949,0.132659,1
0.089213,0.079796,1
0.059244,0.036864,1
0.1048,0.02547,1
0.123168,-0.01952,1
0.142394,-0.041748,1
0.168406,-0.109393,1
0.167168,-0.159879,1
0.187008,-0.138405,1
0.204477,-0.167388,1
0.272585,-0.217453,1
0.294763,-0.235502,1
0.297577,-0.257207,1
0.352915,-0.297991,1
0.354727,-0.292105,1
0.392492,-0.339007,1
0.392038,-0.387106,1
0.464163,-0.375374,1
0.505964,-0.413839,1
0.515132,-0.442732,1
0.591372,-0.443577,1
0.558395,-0.507966,1
0.6224,-0.475693,1
0.713234,-0.502196,1
0.699504,-0.509457,1
0.784105,-0.496119,1
0.771712,-0.545208,1
0.830364,-0.534943,1
0.858608,-0.529543,1
0.894823,-0.546586,1
0.941427,-0.546562,1
0.951131,-0.549513,1
1.010272,-0.570149,1
1.082254,-0.525408,1
1.101948,-0.542713,1
1.114855,-0.533191,1
1.199752,-0.507879,1
1.218271,-0.515292,1
1.260371,-0.516756,1
1.314402,-0.492015,1
1.312523,-0.480433,1
1.348242,-0.460306,1
1.397123,-0.443708,1
1.427204,-0.427055,1
1.471091,-0.440945,1
1.522308,-0.423078,1
1.534595,-0.384505,1
1.56416,-0.339774,1
1.577223,-0.351174,1
1.652971,-0.337973,1
1.686495,-0.297908,1
1.68745,-0.267181,1
1.718542,-0.284381,1
1.738691,-0.20246,1
1.764783,-0.183614,1
1.782869,-0.174061,1
1.808729,-0.108238,1
1.823453,-0.080467,1
1.900328,-0.017108,1
1.882373,-0.02935,1
1.940191,-0.003243,1
1.938545,0.043084,1
1.902331,0.049234,1
1.966334,0.113841,1
1.938592,0.16518,1
1.99698,0.162815,1
1.964801,0.262093,1
2.008609,0.27576,1
1.970231,0.301772,1
1.972329,0.357128,1
1.989502,0.349686,1
2.026682,0.415548,1
